sub_cat_code,cat_name,sub_cat_name
CS13_201510,Non-Food,Electrical Applicances and Accessories
CS13_201520,Non-Food,Food Serving and Display
CS13_201530,Non-Food,Furniture and Furnishings
CS13_201540,Non-Food,Glassware
CS13_201550,Non-Food,Guest Toiletries
CS13_201580,Non-Food,Office and Stationery
CS13_201590,Non-Food,Retailer Resaleable Products
CS13_201600,Non-Food,Safety and Workwear
CS13_201620,Non-Food,Workplace Signs and Sign Boards
CS13_201630,Pet Food,Cats
CS13_201640,Pet Food,Dogs
CS13_201650,Pet Food,Other Animals
CS13_201690,Seasonal,Festive Items
CS13_201700,Seasonal,Gardening
CS13_201750,Soft Drinks,Adult Drinks
CS13_201760,Soft Drinks,Cup Drinks
CS13_201770,Soft Drinks,Dilutables
CS13_201780,Soft Drinks,Fizzy Drinks
CS13_201790,Soft Drinks,Freeze Pops
CS13_201800,Soft Drinks,Fruit Juice and Smoothies
CS13_201810,Soft Drinks,Juice Drinks
CS13_201820,Soft Drinks,On Premise
CS13_201830,Soft Drinks,Retail Mixers
CS13_201840,Soft Drinks,"Sports, Energy and Health"
CS13_201850,Soft Drinks,Water
CS13_201860,Spirits and Liqueurs,Brandy and Cognac
CS13_201870,Spirits and Liqueurs,Gin
CS13_201880,Spirits and Liqueurs,"Halves, Quarters, Miniatures"
CS13_201900,Spirits and Liqueurs,Rum
CS13_201910,Spirits and Liqueurs,"Shots, Liqueurs and Cocktails"
CS13_201920,Spirits and Liqueurs,Vodka
CS13_201930,Spirits and Liqueurs,Whisky
CS13_201940,Tobacco and Cigarettes,Cigarettes
CS13_201950,Tobacco and Cigarettes,Cigars and Other Tobacco
CS13_201955,Tobacco and Cigarettes,E-Cigarettes
CS13_201960,Tobacco and Cigarettes,Smoking Accessories
CS13_201980,Wine,Champagne and Sparkling Wine
CS13_201990,Wine,Fortified Wines
CS13_202010,Wine,Low Alcohol Wine
CS13_202020,Wine,Red Wine
CS13_202030,Wine,Rosé Wine
CS13_202040,Wine,Single Serve Wine
CS13_202050,Wine,White Wine
CS13_202060,Wine,Wine Boxes
